"stratum","leg","fits","biasW","mcseW","covW","biasB","mcseB","covB"
"mainstream","oracle",1200,0,0,1,0,0,1
"mainstream","freq_per_pv",1200,0.00131549339288867,0.000839808132295983,0.973333333333333,-0.00313365341589289,0.00395858472931775,0.953333333333333
"mainstream","bayes_a",1200,0.00131634022443355,0.000839966118079762,0.973333333333333,-0.00314486588940144,0.00395872537391673,0.956666666666667
"mainstream","c_direct",1200,0.00133937717862626,0.000840583615368583,0.959166666666667,-0.00311408897687981,0.00395992824936102,0.948333333333333
"F-tail","oracle",800,0,0,1,0,0,1
"F-tail","freq_per_pv",800,0.00050536747579194,0.00126850022581612,0.98625,0.00451933197161769,0.0074150854192187,0.945
"F-tail","bayes_a",800,0.000509238939720991,0.00126831267015318,0.98625,0.00442250641849629,0.00741545074735974,0.95125
"F-tail","c_direct",800,0.000518933581737491,0.00126844585808881,0.97625,0.00511473668334028,0.00741065470951504,0.9525
"sensitivity","oracle",2000,0,0,1,0,0,1
"sensitivity","freq_per_pv",2000,-0.000526939308255536,0.000617988494772066,0.973,-0.00224397485027217,0.00298387799482322,0.954
"sensitivity","bayes_a",2000,-0.000517617011892346,0.000617965265242723,0.9735,-0.00229067321516496,0.00298509437835721,0.959
"sensitivity","c_direct",2000,-0.000509202683825039,0.000618090604010987,0.9615,-0.00238804947488347,0.00298437208675307,0.955
