"country","support_id","pv_index","pv_col","term","full_sample_estimate","brr_design_variance","brr_design_se","brr_replicate_count","fay_coefficient","fay_variance_multiplier","replicate_weight_role","pipeline_b_final_replicates_allowed","row_support_hash","target_hash"
"USA","EST-01",6,"PV6READ","b_Intercept",499.293351107327,0.991164137145624,0.99557226615933,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",6,"PV6READ","b_ESCS_within",25.7076762380837,3.22752157003435,1.79653042557991,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",6,"PV6READ","b_ESCS_between",71.393012951331,6.26639631802027,2.50327711570658,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",7,"PV7READ","b_Intercept",499.778892767005,0.912480947821588,0.955238686309128,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",7,"PV7READ","b_ESCS_within",24.8864493125567,2.95487138113998,1.71897393265284,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",7,"PV7READ","b_ESCS_between",69.3236936926958,5.32878222975562,2.30841552363426,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",8,"PV8READ","b_Intercept",499.9377206796,0.954211065050635,0.976837276648795,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",8,"PV8READ","b_ESCS_within",24.6513700824917,3.03444264835019,1.74196516852381,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",8,"PV8READ","b_ESCS_between",69.0698247184379,4.85287871746821,2.20292503673371,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",9,"PV9READ","b_Intercept",500.46276532723,1.04799076642738,1.02371420153644,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",9,"PV9READ","b_ESCS_within",24.283364391161,3.21315985624338,1.79252889969545,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",9,"PV9READ","b_ESCS_between",69.5322993189368,5.39066589643261,2.3217807597688,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",10,"PV10READ","b_Intercept",499.822538073178,0.984755932666156,0.99234869509974,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",10,"PV10READ","b_ESCS_within",23.8034020273901,3.3804373486999,1.83859657040361,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"USA","EST-01",10,"PV10READ","b_ESCS_between",72.0878897272084,5.11620607631973,2.26190319782252,80,0.5,0.05,"external_design_variance_only",FALSE,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","a179a1e23064cad7fb9ea82dd09c963a2fc4ded9affe7179fc37c9f461faaa30"
"KOR","EST-01",1,"PV1READ","b_Intercept",496.319513065412,1.13110054920839,1.06353211009747,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",1,"PV1READ","b_ESCS_within",28.1337480602148,6.0227716286455,2.45413358003298,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",1,"PV1READ","b_ESCS_between",95.3636867461097,4.28987621496859,2.07120163551707,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",2,"PV2READ","b_Intercept",497.55753429927,1.09180864044758,1.04489647355495,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",2,"PV2READ","b_ESCS_within",27.6003704991467,6.38655113928756,2.52716266577511,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",2,"PV2READ","b_ESCS_between",91.7735556475592,4.63009107707885,2.15176464258498,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",3,"PV3READ","b_Intercept",495.405860313728,1.05148254502153,1.02541822931989,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",3,"PV3READ","b_ESCS_within",29.1136759250674,4.40098415423191,2.09785227178463,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",3,"PV3READ","b_ESCS_between",97.5871395500666,4.18813770506028,2.0464940031821,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",4,"PV4READ","b_Intercept",493.38676111664,0.955526425714303,0.97751032000399,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",4,"PV4READ","b_ESCS_within",26.4179155326255,5.68752263581084,2.3848527492931,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",4,"PV4READ","b_ESCS_between",95.2534343632641,3.81956989957171,1.95437199621047,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",5,"PV5READ","b_Intercept",496.661655037476,1.06868082823032,1.03377020088137,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",5,"PV5READ","b_ESCS_within",27.9418940404686,5.81847741408366,2.41215202963737,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",5,"PV5READ","b_ESCS_between",91.476935225556,3.94220178201732,1.98549786754288,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",6,"PV6READ","b_Intercept",494.753131457456,0.913463308349352,0.955752744358786,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",6,"PV6READ","b_ESCS_within",27.3561815654125,5.61138443776555,2.3688360934783,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",6,"PV6READ","b_ESCS_between",96.8715715030581,4.17081895159075,2.04225829698174,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",7,"PV7READ","b_Intercept",495.95005089827,1.09467326714947,1.0462663461803,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",7,"PV7READ","b_ESCS_within",27.7334335617879,4.2704532126561,2.06650749155576,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",7,"PV7READ","b_ESCS_between",94.7810949190886,4.82162842116639,2.19582067144983,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",8,"PV8READ","b_Intercept",496.448030803528,1.02107782118202,1.01048395394584,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",8,"PV8READ","b_ESCS_within",28.3874897533832,8.50052570769322,2.91556610415426,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",8,"PV8READ","b_ESCS_between",91.6763661995395,4.40215027121333,2.09813018452462,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",9,"PV9READ","b_Intercept",496.401236070062,1.0041895495889,1.00209258533775,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",9,"PV9READ","b_ESCS_within",30.020481525311,5.24404893065123,2.28998884946002,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",9,"PV9READ","b_ESCS_between",92.1660862412367,4.27397399330913,2.06735918342922,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",10,"PV10READ","b_Intercept",493.874166283147,1.05406490744176,1.02667663236375,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",10,"PV10READ","b_ESCS_within",26.1485653014498,4.23687468890291,2.05836699567956,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
"KOR","EST-01",10,"PV10READ","b_ESCS_between",95.2157256869323,4.18233346933601,2.04507541898484,80,0.5,0.05,"external_design_variance_only",FALSE,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","702ad83522c4485a81d0a04aeca379e614b165c4505500907b2e9746733737da"
