"robustness_country_row_id","country","support_id","weighting","term","estimate","se","df","pv_count","pv_set","pv_indices","brr_replicate_count","row_support_hash","target_hash","se_family","point_estimate_refit","se_refit","sensitivity_se_source","boundary_flag","weight_stage","analysis_role","weight_scaling_rule","weighting_regime","scaling_method","l1_conditional_weight_scaling_method","replicate_allocation","inference_scope","level_placement_rule","weight_edge_policy_id","weight_policy_version","weight_validity_status","trim_winsor_policy","trim_winsor_rule","replicate_weight_role","replicate_decomposition_scope","stage_specific_replicate_decomposition_identified"
"PISA-RBC-011","KOR","EST-01","level1_final_weight_only","b_ESCS_within",27.8853755764867,2.66028854163081,211.710447390407,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","c4e93fa18b26041ead7477bd681b292781c1e74bea5fe308d576c75da9ac3d08","external_final_weight_brr_fay_lme4_target",FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,"final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-012","KOR","EST-01","level1_final_weight_only","b_ESCS_between",94.2165596082411,3.15035015501511,27.7445075314974,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","c4e93fa18b26041ead7477bd681b292781c1e74bea5fe308d576c75da9ac3d08","external_final_weight_brr_fay_lme4_target",FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,"final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-013","USA","EST-01","declared_staged_sns01","b_Intercept",499.527131741271,2.13083911532806,73.3777182193398,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","2aa6149ea431519081d398d153a92ea71d1c3b6e1d73d6b99ee2bfc8883b6758","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-014","USA","EST-01","declared_staged_sns01","b_ESCS_within",25.11983259351,1.96477678213625,370.05403283791,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","2aa6149ea431519081d398d153a92ea71d1c3b6e1d73d6b99ee2bfc8883b6758","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-015","USA","EST-01","declared_staged_sns01","b_ESCS_between",71.3364803630882,3.39436592515938,65.7500600461199,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","2aa6149ea431519081d398d153a92ea71d1c3b6e1d73d6b99ee2bfc8883b6758","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-016","KOR","EST-01","declared_staged_sns01","b_Intercept",495.128578185285,2.29858010590109,73.9955214222586,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","f39f09a8c559feb07da91e97c9031dddc16a51631102c83c4dfa9e33c8065daa","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-017","KOR","EST-01","declared_staged_sns01","b_ESCS_within",27.8853755764868,2.65915644028449,211.350298890969,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","f39f09a8c559feb07da91e97c9031dddc16a51631102c83c4dfa9e33c8065daa","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-018","KOR","EST-01","declared_staged_sns01","b_ESCS_between",81.995350206637,5.57387892278719,68.8021882480104,10,"all10","1,2,3,4,5,6,7,8,9,10",80,"83a91d9a89811d0e6d9c4a0ac431686aef918ccc19f536b3a7792da0caefb7d7","f39f09a8c559feb07da91e97c9031dddc16a51631102c83c4dfa9e33c8065daa","declared_stage_fixed_school_final_replicate_sensitivity",FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,"declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-019","USA","EST-01","level1_final_weight_only","b_Intercept",500.61112228377,1.41535551964084,15.3069830485416,5,"pv1_5","1,2,3,4,5",80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","ce3af9219443e9482e567542fa85e60a7c8bd0ee23b9a7b672e46b41930bfdd1","external_final_weight_brr_fay_lme4_target",FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,"final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
"PISA-RBC-020","USA","EST-01","level1_final_weight_only","b_ESCS_within",25.5732127766835,1.89558336667507,802.252059380787,5,"pv1_5","1,2,3,4,5",80,"b84ea064535afeb1c7de9507b8f3ab876b3c73dfde82bc4068b3cb67bb8c86c4","ce3af9219443e9482e567542fa85e60a7c8bd0ee23b9a7b672e46b41930bfdd1","external_final_weight_brr_fay_lme4_target",FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,"final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE
