"country","n_students","n_schools","mean_w_norm_sample","mean_w_school_unique","max_product_error","min_weight","all_finite_positive"
"USA",4342,150,0.999999999999994,1,8.88178419700125e-16,0.131942586972898,TRUE
"KOR",6391,186,0.999999999999981,1,1.77635683940025e-15,0.0268817708153931,TRUE
