"robustness_row_id","weighting","country_pair","gap_pct","estimate","se","df","p_value","significant","pv_count","pv_set","pv_indices","weight_stage","analysis_role","weight_scaling_rule","weighting_regime","scaling_method","l1_conditional_weight_scaling_method","se_family","df_method","replicate_allocation","inference_scope","level_placement_rule","weight_edge_policy_id","weight_policy_version","weight_validity_status","trim_winsor_policy","trim_winsor_rule","replicate_weight_role","replicate_decomposition_scope","stage_specific_replicate_decomposition_identified","point_estimate_refit","se_refit","sensitivity_se_source","boundary_flag","usa_estimate","kor_estimate","usa_se","kor_se","usa_df","kor_df","usa_target_hash","kor_target_hash","attenuation_vs_naive","attenuation_vs_level1_pct","gap_pct_attenuation_vs_level1","significance_change","reversal_indicator","effect_size_ratio_to_primary","qualification_reason","scaling_robustness_state","strong_reversal_claim_allowed"
"PISA-RB-011","declared_staged_sns01","KOR_minus_USA",14.9416817164196,10.6588698435488,6.52608966225369,38,0.110671901722372,FALSE,10,"all10","1,2,3,4,5,6,7,8,9,10","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","fixed_df_38","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.3364803630882,81.995350206637,3.39436592515938,5.57387892278719,65.7500600461199,68.8021882480104,"2aa6149ea431519081d398d153a92ea71d1c3b6e1d73d6b99ee2bfc8883b6758","f39f09a8c559feb07da91e97c9031dddc16a51631102c83c4dfa9e33c8065daa",2.77682261403421,2.77682261403421,18.4436712504765,"significant_to_not_significant",TRUE,1,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-012","declared_staged_sns01","KOR_minus_USA",14.9416817164196,10.6588698435488,6.52608966225369,79,0.106391648507541,FALSE,10,"all10","1,2,3,4,5,6,7,8,9,10","declared_school_plus_conditional_student","confirmatory","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","fixed_df_79","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.3364803630882,81.995350206637,3.39436592515938,5.57387892278719,65.7500600461199,68.8021882480104,"2aa6149ea431519081d398d153a92ea71d1c3b6e1d73d6b99ee2bfc8883b6758","f39f09a8c559feb07da91e97c9031dddc16a51631102c83c4dfa9e33c8065daa",2.77682261403421,2.77682261403421,18.4436712504765,"significant_to_not_significant",TRUE,1,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-013","level1_final_weight_only","KOR_minus_USA",32.8258951508415,23.3025709702144,4.74641422475389,22.4133298062004,6.24681112491495e-05,TRUE,5,"pv1_5","1,2,3,4,5","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","external_final_weight_brr_fay_lme4_target","welch_satterthwaite","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,70.9883793362967,94.2909503065111,3.19297429780992,3.51188882604095,17.3225558906479,9.13919364890913,"ce3af9219443e9482e567542fa85e60a7c8bd0ee23b9a7b672e46b41930bfdd1","baadabcd5aca005e4764af926bb6fb933327aae216791364ff77960524da749f",2.77682261403421,2.77682261403421,0.559457816054596,"significance_retained",TRUE,2.18621404635297,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-014","level1_final_weight_only","KOR_minus_USA",32.8258951508415,23.3025709702144,4.74641422475389,,9.13039626640784e-07,TRUE,5,"pv1_5","1,2,3,4,5","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","external_final_weight_brr_fay_lme4_target","normal_reference","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,70.9883793362967,94.2909503065111,3.19297429780992,3.51188882604095,17.3225558906479,9.13919364890913,"ce3af9219443e9482e567542fa85e60a7c8bd0ee23b9a7b672e46b41930bfdd1","baadabcd5aca005e4764af926bb6fb933327aae216791364ff77960524da749f",2.77682261403421,2.77682261403421,0.559457816054596,"significance_retained",TRUE,2.18621404635297,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-015","declared_staged_sns01","KOR_minus_USA",14.8172292059527,10.5489884567154,7.39829280378477,29.4583470834215,0.164418075581552,FALSE,5,"pv1_5","1,2,3,4,5","declared_school_plus_conditional_student","sensitivity","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","welch_satterthwaite","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.1940694855249,81.7430579422403,4.01349608344965,6.21502901028369,13.8486078576878,17.9841059863608,"dda60bd093e221848c8b05e5f82664322a5312ac67dcb41286a6251d045fbbba","2b07da651bc6095056748bba0d97c0836117542d6ee41e16b1dbe40729b29b4c",2.77682261403421,2.77682261403421,18.5681237609435,"significant_to_not_significant",TRUE,0.989691084660362,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-016","declared_staged_sns01","KOR_minus_USA",14.8172292059527,10.5489884567154,7.39829280378477,,0.153906467641942,FALSE,5,"pv1_5","1,2,3,4,5","declared_school_plus_conditional_student","sensitivity","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","normal_reference","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.1940694855249,81.7430579422403,4.01349608344965,6.21502901028369,13.8486078576878,17.9841059863608,"dda60bd093e221848c8b05e5f82664322a5312ac67dcb41286a6251d045fbbba","2b07da651bc6095056748bba0d97c0836117542d6ee41e16b1dbe40729b29b4c",2.77682261403421,2.77682261403421,18.5681237609435,"significant_to_not_significant",TRUE,0.989691084660362,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-017","level1_final_weight_only","KOR_minus_USA",33.9504389678491,23.8608248282491,4.2063542670789,33.4252554001694,2.42703449496635e-06,TRUE,5,"pv6_10","6,7,8,9,10","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","external_final_weight_brr_fay_lme4_target","welch_satterthwaite","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,70.281344081722,94.142168909971,2.76126651169812,3.17314094731818,46.6100758060468,12.4874748659365,"738719e5898cf0022bf2db2465d70bae743da721da743c44691529259a034fb0","e7c2bf9f29caae327e99cb85ccf3c3af7cbd024d142073f3008ea165bcb44123",2.77682261403421,2.77682261403421,-0.565086000953002,"significance_retained",FALSE,2.23858862885831,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-018","level1_final_weight_only","KOR_minus_USA",33.9504389678491,23.8608248282491,4.2063542670789,,1.40673782222675e-08,TRUE,5,"pv6_10","6,7,8,9,10","final_student_weight_only","comparator","mean_normalized_final_student_weight_with_external_final_brr_fay_se","level1_final_weight_only","final_weight_mean_normalized","not_applicable","external_final_weight_brr_fay_lme4_target","normal_reference","official_final_replicate_weights","external_final_weight_brr_fay_lme4_target","final_student_weight_at_level1_only","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_4_brr_fay_per_pv_target",FALSE,70.281344081722,94.142168909971,2.76126651169812,3.17314094731818,46.6100758060468,12.4874748659365,"738719e5898cf0022bf2db2465d70bae743da721da743c44691529259a034fb0","e7c2bf9f29caae327e99cb85ccf3c3af7cbd024d142073f3008ea165bcb44123",2.77682261403421,2.77682261403421,-0.565086000953002,"significance_retained",FALSE,2.23858862885831,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-019","declared_staged_sns01","KOR_minus_USA",15.0656383212863,10.7687512303821,6.10232123833178,63.6171307011852,0.0824145759097413,FALSE,5,"pv6_10","6,7,8,9,10","declared_school_plus_conditional_student","sensitivity","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","welch_satterthwaite","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.4788912406514,82.2476424710336,2.96851194062724,5.33162839610458,101.984337378227,38.4127235451078,"33af6ceec357e4383d7f3452aedf2585db98399b77d295ec23697d9a3dc0c98e","1e7621616576b5f11a5432d689a5127d76952f3d7beebc45e0dc44835213dce6",2.77682261403421,2.77682261403421,18.3197146456099,"significant_to_not_significant",TRUE,1.01030891533963,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
"PISA-RB-020","declared_staged_sns01","KOR_minus_USA",15.0656383212863,10.7687512303821,6.10232123833178,,0.0776146135548116,FALSE,5,"pv6_10","6,7,8,9,10","declared_school_plus_conditional_student","sensitivity","sns01_stagewise_sample_normalized","declared_staged","sns01_stagewise_sample_normalized","residual_final_sample_normalized","declared_stage_fixed_school_final_replicate_sensitivity","normal_reference","fixed_school_weight_final_replicate_sensitivity","declared_stage_point_with_fixed_school_weight_final_replicate_se","declared_school_weight_plus_residual_student_factor","WEDGE-01","central_v1","pass","none","none","external_design_variance_only","final_weight_only",FALSE,FALSE,FALSE,"cached_step7_5_declared_stage_per_pv_target",FALSE,71.4788912406514,82.2476424710336,2.96851194062724,5.33162839610458,101.984337378227,38.4127235451078,"33af6ceec357e4383d7f3452aedf2585db98399b77d295ec23697d9a3dc0c98e","1e7621616576b5f11a5432d689a5127d76952f3d7beebc45e0dc44835213dce6",2.77682261403421,2.77682261403421,18.3197146456099,"significant_to_not_significant",TRUE,1.01030891533963,"scaling_none_significant;scaling_no_material_effect_ratio_shift","qualified_scaling_sensitive",FALSE
