"country","pipeline","effect","estimate","std_error","ci_low","ci_high","df"
"USA","A","Within-school",25.083381396,1.93738793795384,21.2729935665631,28.8937692254369,349.972573636098
"USA","A","Between-school",69.7401845973,6.04729687728754,57.8771446021063,81.6032245924937,1360.22214097538
"USA","C","Within-school",25.083381396,1.93738793795384,21.2861708135282,28.8805919784718,NA
"USA","C","Between-school",69.7401845973,6.04729687728754,57.8877005139949,81.5926686806051,NA
"KOR","A","Within-school",27.8634509841,1.97988086043692,23.9089212261261,31.8179807420739,64.6253254892133
"KOR","A","Between-school",92.9388363584,6.54455471581504,80.0827562462458,105.794916470554,536.760816868024
"KOR","C","Within-school",27.8634509841,1.97988086043692,23.9829558039635,31.7439461642365,NA
"KOR","C","Between-school",92.9388363584,6.54455471581504,80.1117448205507,105.765927896249,NA
