"cell_id","M","n","J","n_per_cluster","icc","delta","delta_over_eps","tolerance","delta_over_tolerance","kappa_V","pass","eps_limit","eps_limit_pass","seed"
"M05_J06_npc04_icc020",5,24,6,4,0.2,0.000000000000000222044604925031,1,0.00000000000021316282072803,0.00104166666666667,2,TRUE,1000,TRUE,20260532
"M10_J06_npc04_icc020",10,24,6,4,0.2,0.000000000000000111022302462516,0.5,0.00000000000021316282072803,0.000520833333333333,2,TRUE,1000,TRUE,20260533
"M20_J06_npc04_icc020",20,24,6,4,0.2,0.000000000000000111022302462516,0.5,0.00000000000021316282072803,0.000520833333333333,2,TRUE,1000,TRUE,20260534
"M05_J12_npc04_icc020",5,48,12,4,0.2,0.0000000000000000555111512312578,0.25,0.00000000000042632564145606,0.000130208333333333,2,TRUE,1000,TRUE,20260535
"M10_J12_npc04_icc020",10,48,12,4,0.2,0.000000000000000222044604925031,1,0.00000000000042632564145606,0.000520833333333333,2,TRUE,1000,TRUE,20260536
"M20_J12_npc04_icc020",20,48,12,4,0.2,0.000000000000000277555756156289,1.25,0.00000000000042632564145606,0.000651041666666666,2,TRUE,1000,TRUE,20260537
"M05_J06_npc08_icc020",5,48,6,8,0.2,0.000000000000000444089209850063,2,0.00000000000063948846218409,0.000694444444444444,3,TRUE,1000,TRUE,20260538
"M10_J06_npc08_icc020",10,48,6,8,0.2,0.000000000000000333066907387547,1.5,0.00000000000063948846218409,0.000520833333333333,3,TRUE,1000,TRUE,20260539
"M20_J06_npc08_icc020",20,48,6,8,0.2,0.000000000000000222044604925031,1,0.00000000000063948846218409,0.000347222222222222,3,TRUE,1000,TRUE,20260540
"M05_J12_npc08_icc020",5,96,12,8,0.2,0.000000000000000333066907387547,1.5,0.00000000000127897692436818,0.000260416666666666,3,TRUE,1000,TRUE,20260541
"M10_J12_npc08_icc020",10,96,12,8,0.2,0.000000000000000111022302462516,0.5,0.00000000000127897692436818,0.0000868055555555555,3,TRUE,1000,TRUE,20260542
"M20_J12_npc08_icc020",20,96,12,8,0.2,0.000000000000000111022302462516,0.5,0.00000000000127897692436818,0.0000868055555555555,3,TRUE,1000,TRUE,20260543
"M05_J06_npc04_icc045",5,24,6,4,0.45,0.000000000000000222044604925031,1,0.000000000000455393298828064,0.00048758865248227,4.27272727272727,TRUE,1000,TRUE,20260544
"M10_J06_npc04_icc045",10,24,6,4,0.45,0.000000000000000111022302462516,0.5,0.000000000000455393298828064,0.000243794326241135,4.27272727272727,TRUE,1000,TRUE,20260545
"M20_J06_npc04_icc045",20,24,6,4,0.45,0.000000000000000222044604925031,1,0.000000000000455393298828064,0.00048758865248227,4.27272727272727,TRUE,1000,TRUE,20260546
"M05_J12_npc04_icc045",5,48,12,4,0.45,0.000000000000000222044604925031,1,0.000000000000910786597656128,0.000243794326241135,4.27272727272727,TRUE,1000,TRUE,20260547
"M10_J12_npc04_icc045",10,48,12,4,0.45,0.000000000000000166533453693773,0.75,0.000000000000910786597656128,0.000182845744680851,4.27272727272727,TRUE,1000,TRUE,20260548
"M20_J12_npc04_icc045",20,48,12,4,0.45,0.000000000000000166533453693773,0.75,0.000000000000910786597656128,0.000182845744680851,4.27272727272727,TRUE,1000,TRUE,20260549
"M05_J06_npc08_icc045",5,48,6,8,0.45,0.000000000000000166533453693773,0.75,0.00000000000160841037458423,0.000103539156626506,7.54545454545456,TRUE,1000,TRUE,20260550
"M10_J06_npc08_icc045",10,48,6,8,0.45,0.000000000000000111022302462516,0.5,0.00000000000160841037458423,0.0000690261044176706,7.54545454545456,TRUE,1000,TRUE,20260551
"M20_J06_npc08_icc045",20,48,6,8,0.45,0.000000000000000444089209850063,2,0.00000000000160841037458423,0.000276104417670682,7.54545454545456,TRUE,1000,TRUE,20260552
"M05_J12_npc08_icc045",5,96,12,8,0.45,0.000000000000000166533453693773,0.75,0.00000000000321682074916846,0.0000517695783132529,7.54545454545456,TRUE,1000,TRUE,20260553
"M10_J12_npc08_icc045",10,96,12,8,0.45,0.000000000000000388578058618805,1.75,0.00000000000321682074916846,0.000120795682730923,7.54545454545456,TRUE,1000,TRUE,20260554
"M20_J12_npc08_icc045",20,96,12,8,0.45,0.000000000000000277555756156289,1.25,0.00000000000321682074916846,0.0000862826305220882,7.54545454545456,TRUE,1000,TRUE,20260555
