"design_condition_id","rep_tier","profile","ICC_y","J","nbar","ICC_x","rho_PV","M","leg","R","meanW","biasW","covW","covW_lo","covW_hi","meanB","biasB","covB","covB_lo","covB_hi","mcseW","mcseB"
"SM-c1","sensitivity","USA",0.2,100,20,0.15,0.9,5,"freq_per_pv",200,0.401086017052424,0.00108601705242378,0.965,0.929529388113122,0.982944458084742,0.58994220141743,-0.0100577985825696,0.945,0.904213000830331,0.969014658434292,0.00196845914655702,0.00980809416987569
"SM-c2","sensitivity","USA",0.2,100,20,0.15,0.9,20,"freq_per_pv",200,0.39847541545472,-0.00152458454527982,0.985,0.956834270884611,0.994885762246495,0.596939082981369,-0.00306091701863065,0.945,0.904213000830331,0.969014658434292,0.00165442378219116,0.00833398676345249
"SM-c2","sensitivity","USA",0.2,100,20,0.15,0.9,20,"oracle",200,0.4,0,1,0.981154673331037,1,0.6,0,1,0.981154673331037,1,0,0
"SM-c2","sensitivity","USA",0.2,100,20,0.15,0.9,20,"bayes_a",200,0.398475632798079,-0.00152436720192128,0.985,0.956834270884611,0.994885762246495,0.596923252614571,-0.00307674738542885,0.95,0.91042185147139,0.972617354526543,0.00165375475551284,0.00833911599561496
"SM-c2","sensitivity","USA",0.2,100,20,0.15,0.9,20,"c_direct",200,0.398491185675462,-0.00150881432453753,0.97,0.936105707190366,0.986179685740808,0.596639034885431,-0.00336096511456874,0.945,0.904213000830331,0.969014658434292,0.00165273528260949,0.00834106913505094
"T1-c1","F-tail","USA",0.2,50,20,0.15,0.9,10,"oracle",400,0.4,0,1,0.990487705517067,1,0.6,0,1,0.990487705517067,1,0,0
"T1-c1","F-tail","USA",0.2,50,20,0.15,0.9,10,"freq_per_pv",400,0.400041367627766,4.13676277662978e-05,0.985,0.967665366230624,0.993107708120931,0.603571007384598,0.00357100738459837,0.9525,0.927008450350551,0.969382923142395,0.0016106682075497,0.00885292918837106
"T1-c1","F-tail","USA",0.2,50,20,0.15,0.9,10,"c_direct",400,0.400080827770325,8.08277703250315e-05,0.9725,0.951434517905164,0.984576363808464,0.604398113635858,0.00439811363585818,0.955,0.929995270573425,0.971348541447106,0.0016101271240011,0.00883497972504932
"T1-c1","F-tail","USA",0.2,50,20,0.15,0.9,10,"bayes_a",400,0.400044592653239,4.45926532387508e-05,0.985,0.967665366230624,0.993107708120931,0.603418095019844,0.00341809501984447,0.9575,0.932997945442476,0.973298305105641,0.00161036298936185,0.00885009137665208
"T1-c6","mainstream","KOR",0.45,200,20,0.3,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T1-c6","mainstream","KOR",0.45,200,20,0.3,0.9,10,"c_direct",100,0.399984398211225,-1.5601788774966e-05,0.96,0.901629285015279,0.984336696117245,0.595969883464492,-0.00403011653550789,0.97,0.915480635101425,0.989745476055719,0.00202409387938217,0.0112700693646981
"T1-c6","mainstream","KOR",0.45,200,20,0.3,0.9,10,"freq_per_pv",100,0.399974775634129,-2.52243658706575e-05,0.98,0.929988208682425,0.994498032499338,0.597095395864643,-0.00290460413535731,0.97,0.915480635101425,0.989745476055719,0.00202487438531411,0.0112131730250585
"T1-c6","mainstream","KOR",0.45,200,20,0.3,0.9,10,"bayes_a",100,0.399975151934957,-2.48480650425487e-05,0.98,0.929988208682425,0.994498032499338,0.597059896225282,-0.00294010377471832,0.99,0.945513803250993,0.998232567955391,0.00202389260076859,0.0112194916166732
"T2-c1","mainstream","USA",0.2,100,20,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T2-c1","mainstream","USA",0.2,100,20,0.15,0.9,10,"freq_per_pv",100,0.399844199088429,-0.000155800911571247,0.98,0.929988208682425,0.994498032499338,0.583208178284971,-0.0167918217150288,0.92,0.850018922307228,0.958906538726815,0.00240775599669639,0.0138187207579542
"T2-c1","mainstream","USA",0.2,100,20,0.15,0.9,10,"c_direct",100,0.39982044000985,-0.000179559990150069,0.98,0.929988208682425,0.994498032499338,0.583600518975767,-0.0163994810242332,0.92,0.850018922307228,0.958906538726815,0.00240746557977581,0.0138033794105688
"T2-c1","mainstream","USA",0.2,100,20,0.15,0.9,10,"bayes_a",100,0.399840821056575,-0.000159178943424987,0.98,0.929988208682425,0.994498032499338,0.583227103515208,-0.0167728964847924,0.92,0.850018922307228,0.958906538726815,0.00240693520626025,0.0138085092666931
"T2-c2","mainstream","USA",0.2,50,10,0.15,0.9,10,"oracle",100,0.4,0,1,0.963006501231004,1,0.6,0,1,0.963006501231004,1,0,0
"T2-c2","mainstream","USA",0.2,50,10,0.15,0.9,10,"c_direct",100,0.410977624452665,0.0109776244526651,0.96,0.901629285015279,0.984336696117245,0.623659554401136,0.0236595544011359,0.96,0.901629285015279,0.984336696117245,0.00537236207461556,0.0157783814316229
"T2-c2","mainstream","USA",0.2,50,10,0.15,0.9,10,"bayes_a",100,0.4109878971146,0.0109878971146005,0.97,0.915480635101425,0.989745476055719,0.623242647270178,0.0232426472701783,0.97,0.915480635101425,0.989745476055719,0.00536399736710774,0.0158038556134613
"T2-c2","mainstream","USA",0.2,50,10,0.15,0.9,10,"freq_per_pv",100,0.41097831049702,0.01097831049702,0.97,0.915480635101425,0.989745476055719,0.623207070702177,0.0232070707021766,0.97,0.915480635101425,0.989745476055719,0.00536530984693831,0.0158177466791743
"T2-c3","mainstream","USA",0.2,50,30,0.15,0.9,10,"bayes_a",100,0.400069323698797,6.93236987974188e-05,0.96,0.901629285015279,0.984336696117245,0.592516701935475,-0.00748329806452475,0.96,0.901629285015279,0.984336696117245,0.00302940685339162,0.0176593067696824
