"design_condition_id","rep_id","leg","bW","seW","loW","hiW","bB","seB","loB","hiB"
"Q7-c2",1,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",1,"freq_per_pv",0.387677579981754,0.0352492568987805,0.318204849863256,0.457150310100252,0.858631949597055,0.157252080971733,0.550417733340788,1.16684616585332
"Q7-c2",1,"bayes_a",0.38750895416075,0.0351597430051674,0.318240795547929,0.456777112773571,0.85942571612685,0.160914306577772,0.544034707729983,1.17481672452372
"Q7-c2",1,"c_direct",0.387847550375,0.0306325727158918,0.327807707851852,0.447887392898148,0.857829268654999,0.165330128976321,0.53378221586141,1.18187632144859
"Q7-c2",2,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",2,"freq_per_pv",0.411455213816956,0.033357296678761,0.345780591113787,0.477129836520126,0.530024782099142,0.164506205497009,0.207592092188766,0.852457472009517
"Q7-c2",2,"bayes_a",0.411325835327,0.0334796392387047,0.345415882910106,0.477235787743895,0.529912219342032,0.167681742420014,0.201252039567627,0.858572399116437
"Q7-c2",2,"c_direct",0.4114809607875,0.0301974127038026,0.352294031888047,0.470667889686953,0.531454061692475,0.166185032846793,0.205731397312761,0.857176726072189
"Q7-c2",3,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",3,"freq_per_pv",0.383228285998631,0.0345186421765373,0.315330180015523,0.451126391981739,0.636086108488523,0.128018283301627,0.385164294016588,0.887007922960458
"Q7-c2",3,"bayes_a",0.38323373711825,0.0345982177899808,0.315158363072552,0.451309111163947,0.63433145604725,0.130282651043543,0.378968266868592,0.889694645225907
"Q7-c2",3,"c_direct",0.382844245430001,0.0312008569949177,0.321690565719962,0.443997925140039,0.631724161312499,0.124878133089381,0.386963020457312,0.876485302167685
"Q7-c2",4,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",4,"freq_per_pv",0.369588353037412,0.0323155302983187,0.306031695256772,0.433145010818053,0.710555447474413,0.144948987634895,0.426445901029824,0.994664993919002
"Q7-c2",4,"bayes_a",0.3696211450945,0.0321594162846623,0.306383657131984,0.432858633057017,0.70895205060675,0.14816861892097,0.418532135906802,0.999371965306698
"Q7-c2",4,"c_direct",0.36934325749,0.0291585725386495,0.312192455314247,0.426494059665753,0.7051271198825,0.140948081511725,0.428868880119518,0.981385359645482
"Q7-c2",5,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",5,"freq_per_pv",0.373261154381862,0.0331510309566102,0.308042258108911,0.438480050654813,0.335041889681885,0.199515298910637,-0.0560048973082526,0.726088676672022
"Q7-c2",5,"bayes_a",0.37320052647675,0.0331495079118276,0.307978852101817,0.438422200851683,0.33670899821073,0.207213581271391,-0.069426212403666,0.742844208825127
"Q7-c2",5,"c_direct",0.373947231075,0.0292682783601695,0.316581405489068,0.431313056660933,0.342492150555988,0.205174657109348,-0.0596501773783344,0.74463447849031
"Q7-c2",6,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",6,"freq_per_pv",0.391726165298946,0.032802010449497,0.327355029595364,0.456097301002528,0.682124677802484,0.173840749281472,0.341394658321886,1.02285469728308
"Q7-c2",6,"bayes_a",0.391647143859,0.0330708060233332,0.326750135318935,0.456544152399065,0.682360139925222,0.176845454926601,0.335735272805552,1.02898500704489
"Q7-c2",6,"c_direct",0.391327961515001,0.0309411786855321,0.330683251291358,0.451972671738644,0.67838754065075,0.178610504072175,0.328310952669286,1.02846412863221
"Q7-c2",7,"oracle",0.4,0,0.4,0.4,0.6,0,0.6,0.6
"Q7-c2",7,"freq_per_pv",0.439323681655127,0.0330527574568561,0.374458854146501,0.504188509163753,0.630173470357718,0.158222242555528,0.320042303530661,0.940304637184775
